biome,site,value,disturbance_ha,openforest_ha,year,cluster,x,y
boreal,KLUANE,13,39.51,158832,2013,1,-139.20245547778103,60.63155201858082
boreal,KLUANE,14,19.71,158832,2014,1,-139.20245547778103,60.63155201858082
boreal,KOOTENAY,1,202.14,25920,2001,3,-116.0313811570884,50.93531752049903
boreal,KOOTENAY,2,278.64,25920,2002,3,-116.0313811570884,50.93531752049903
boreal,KOOTENAY,3,67.5,25920,2003,3,-116.0313811570884,50.93531752049903
boreal,KOOTENAY,4,1004.4,25920,2004,3,-116.0313811570884,50.93531752049903
boreal,KOOTENAY,5,2.88,25920,2005,3,-116.0313811570884,50.93531752049903
boreal,KOOTENAY,6,7.47,25920,2006,3,-116.0313811570884,50.93531752049903
boreal,KOOTENAY,7,15.93,25920,2007,3,-116.0313811570884,50.93531752049903
boreal,KOOTENAY,8,82.53,25920,2008,3,-116.0313811570884,50.93531752049903
boreal,KOOTENAY,9,0.27,25920,2009,3,-116.0313811570884,50.93531752049903
boreal,KOOTENAY,10,4.859999999999999,25920,2010,3,-116.0313811570884,50.93531752049903
boreal,KOOTENAY,11,2.6999999999999997,25920,2011,3,-116.0313811570884,50.93531752049903
boreal,KOOTENAY,12,25.74,25920,2012,3,-116.0313811570884,50.93531752049903
boreal,KOOTENAY,13,49.86,25920,2013,3,-116.0313811570884,50.93531752049903
boreal,KOOTENAY,14,65.52,25920,2014,3,-116.0313811570884,50.93531752049903
boreal,LAHEMAA,1,0,0,2001,2,26.037399507301718,59.58148028056476
boreal,LAHEMAA,2,0,0,2002,2,26.037399507301718,59.58148028056476
boreal,LAHEMAA,3,0,0,2003,2,26.037399507301718,59.58148028056476
boreal,LAHEMAA,4,0,0,2004,2,26.037399507301718,59.58148028056476
boreal,LAHEMAA,5,0,0,2005,2,26.037399507301718,59.58148028056476
boreal,LAHEMAA,6,0,0,2006,2,26.037399507301718,59.58148028056476
boreal,LAHEMAA,7,0,0,2007,2,26.037399507301718,59.58148028056476
boreal,LAHEMAA,8,0,0,2008,2,26.037399507301718,59.58148028056476
boreal,LAHEMAA,9,0,0,2009,2,26.037399507301718,59.58148028056476
boreal,LAHEMAA,10,0,0,2010,2,26.037399507301718,59.58148028056476
boreal,LAHEMAA,11,0,0,2011,2,26.037399507301718,59.58148028056476
boreal,LAHEMAA,12,0,0,2012,2,26.037399507301718,59.58148028056476
